"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-03-30 13:31:21","SELL","BANKNIFTY26APR51000PE","NRML","30/30",1869.9,"COMPLETE",""
"2026-03-30 13:31:15","BUY","BANKNIFTY26APR50500PE","NRML","30/30",1665.85,"COMPLETE",""
"2026-03-30 13:31:06","SELL","BANKNIFTY26APR51000PE","NRML","30/30",1862.6,"COMPLETE",""
"2026-03-30 13:30:57","BUY","BANKNIFTY26APR50500PE","NRML","30/30",1663.75,"COMPLETE",""
"2026-03-30 10:51:32","SELL","NIFTY26APR21000PE","NRML","65/65",259.45,"COMPLETE",""
"2026-03-30 10:51:18","SELL","NIFTY26APR22000PE","NRML","0/65",0,"REJECTED",""
"2026-03-30 10:50:36","SELL","BANKNIFTY26APR52500CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 10:49:11","BUY","NIFTY26MAY22500CE","NRML","0/65",1080,"REJECTED",""
"2026-03-30 10:47:58","SELL","BANKNIFTY26APR51500CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 10:47:49","SELL","BANKNIFTY26APR51500CE","NRML","30/30",1757.15,"COMPLETE",""
"2026-03-30 10:47:33","BUY","BANKNIFTY26MAY51000CE","NRML","30/30",2720,"COMPLETE",""
"2026-03-30 10:46:48","SELL","BANKNIFTY26MAY51000CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 10:45:13","SELL","BANKNIFTY26APR53500CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 10:44:19","BUY","NIFTY26APR22500CE","NRML","65/65",830.5,"COMPLETE",""
